;Carla;
.metadata/.log;4.441000000000001;
.metadata/.plugins;36.21;
.metadata/version.ini;4.277;
.recommenders/caches;9.274000000000001;
.recommenders/index;180.26099999999983;
MOM/.classpath;4.555;
MOM/.project;4.555;
MOM/.settings;4.555;
MOM/bin;43.947;
MOM/src;43.455000000000005;
MOM/test.txt;4.555;
mom/Nova pasta;3.4570000000000003;
mom/bin;40.224000000000004;
mom/src;38.028;
mom/teste-meu-exemplo.csv;4.555;
mom/.classpath;3.4570000000000003;
mom/.project;3.4570000000000003;
mom/.settings;3.4570000000000003;
mom/test.txt;3.4570000000000003;
mom/test2.csv;4.555;
.gitignore;4.555;
