;Igor Czechowski;Brice Dutheil;Lukasz Szewc;Rafael Winterhalter;Vineet Kumar;Tim van der Lippe;Krzysztof Wolny;GitHub;Dmitriy Zaitsev;Allon Murienik;Igor C. A. de Lima;rberghegger
subprojects;0;100;0;0;0;40;0;0;0;0;0;0
src/org/easymock;100;0;0;0;0;0;0;0;0;0;0;0
src/org/mockito/Mock.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/ArgumentCaptor.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/Captor.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/Spy.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/InjectMocks.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/Answers.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/Incubating.java;0;100;0;0;0;0;0;0;0;0;0;0
src/org/mockito/AdditionalAnswers.java;0;100;0;0;0;0;0;0;0;0;0;0
src/main/java/org/mockito/BDDMockito.java;0;100;0;0;0;0;0;0;0;0;0;0
src/main/java/org/mockito/ReturnValues.java;0;0;100;100;0;0;0;0;0;0;0;0
src/main/java/org/mockito/ArgumentMatcher.java;0;0;0;0;0;100;0;0;0;0;0;0
src/main/java/org/mockito/Spy.java;0;0;0;0;100;0;0;0;0;0;0;0
src/main/java/org/mockito/InOrder.java;0;0;0;0;0;100;100;0;0;0;0;0
src/main/java/org/mockito/verification;0;0;0;33.33333333;0;83.33333333;0;0;33.33333333;0;0;0
src/main/java/org/mockito/stubbing;0;71.42857143;0;0;0;92.85714286;0;0;0;0;0;0
src/main/java/org/mockito/Mock.java;0;0;0;100;0;100;0;100;0;0;0;0
src/main/java/org/mockito/AdditionalAnswers.java;0;100;0;0;0;100;0;0;0;0;0;0
src/main/java/org/mockito/ArgumentMatchers.java;0;100;0;0;0;0;0;0;0;0;0;0
src/main/java/org/mockito/MockitoDebugger.java;0;0;0;0;0;100;0;0;0;0;0;100
src/main/java/org/mockito/MockitoAnnotations.java;0;100;0;0;0;0;0;0;0;0;0;0
src/main/java/org/mockito/package-info.java;0;0;0;0;0;100;0;0;0;0;100;0
src/main/java/org/mockito/CheckReturnValue.java;0;0;0;0;0;100;0;100;0;0;0;0
src/main/java/org/mockito/internal/hamcrest;0;0;0;0;0;100;0;0;100;0;0;0
src/main/java/org/mockito/internal/InOrderImpl.java;0;0;0;100;0;100;0;0;0;100;0;0
src/main/java/org/mockito/internal/matchers;0;20;0;0;0;80;0;40;40;0;0;0
src/main/java/org/mockito/internal/exceptions;0;0;0;0;0;75;0;25;75;0;0;0
src/main/java/org/mockito/internal/stubbing/StubbingComparator.java;0;0;0;0;0;100;0;0;100;0;0;0
